Feature,Importance
COM.PERCEN_24.730963,0.0
COM.PERCEN_24.7404336,0.0
COM.PERCEN_24.74572539,0.0
COM.PERCEN_24.7806826,0.0
COM.PERCEN_24.81918388,0.0
COM.PERCEN_24.98692052,0.0
COM.PERCEN_25.11637565,0.0
COM.PERCEN_25.26134046,0.0
COM.PERCEN_25.27386408,0.0
COM.PERCEN_25.32739495,0.0
COM.PERCEN_25.40929266,0.0
COM.PERCEN_25.46038745,0.0
COM.PERCEN_25.49119415,0.0
COM.PERCEN_25.49652054,0.0
COM.PERCEN_25.51186256,0.0
COM.PERCEN_25.53843339,0.0
COM.PERCEN_25.57933357,0.0
COM.PERCEN_25.71901925,0.0
COM.PERCEN_25.81381622,0.0
COM.PERCEN_25.94239644,0.0
COM.PERCEN_25.96101059,0.0
COM.PERCEN_26.10033068,0.0
COM.PERCEN_26.12393211,0.0
COM.PERCEN_26.17848312,0.0
COM.PERCEN_26.19899257,0.0
COM.PERCEN_26.22247189,0.0
COM.PERCEN_24.21037039,0.0
COM.PERCEN_24.01918507,0.0
COM.PERCEN_29.22657961,0.0
COM.PERCEN_23.97150464,0.0
COM.PERCEN_22.77238743,0.0
COM.PERCEN_22.77562556,0.0
COM.PERCEN_22.79641575,0.0
COM.PERCEN_22.84028218,0.0
COM.PERCEN_22.96094388,0.0
COM.PERCEN_23.07626401,0.0
COM.PERCEN_23.08740074,0.0
COM.PERCEN_23.09333261,0.0
COM.PERCEN_23.13565998,0.0
COM.PERCEN_23.19410735,0.0
COM.PERCEN_23.20102264,0.0
COM.PERCEN_23.25007412,0.0
COM.PERCEN_23.41341594,0.0
COM.PERCEN_23.43459634,0.0
COM.PERCEN_23.45248724,0.0
COM.PERCEN_23.46046721,0.0
COM.PERCEN_23.55704396,0.0
COM.PERCEN_23.5715536,0.0
COM.PERCEN_23.5997479,0.0
COM.PERCEN_23.62011569,0.0
COM.PERCEN_23.672309,0.0
COM.PERCEN_23.67377251,0.0
COM.PERCEN_23.70874626,0.0
COM.PERCEN_23.71227693,0.0
COM.PERCEN_23.74974487,0.0
COM.PERCEN_23.88216743,0.0
COM.PERCEN_23.90122542,0.0
COM.PERCEN_23.93650638,0.0
COM.PERCEN_23.93664695,0.0
COM.PERCEN_26.27573884,0.0
COM.PERCEN_26.28819089,0.0
COM.PERCEN_26.29067796,0.0
COM.PERCEN_26.33004052,0.0
COM.PERCEN_27.93765356,0.0
COM.PERCEN_28.01817161,0.0
COM.PERCEN_28.09720561,0.0
COM.PERCEN_28.18225983,0.0
COM.PERCEN_28.24705592,0.0
COM.PERCEN_28.25388676,0.0
COM.PERCEN_28.26427221,0.0
COM.PERCEN_28.29095873,0.0
COM.PERCEN_28.30574429,0.0
COM.PERCEN_28.45383659,0.0
COM.PERCEN_28.4648707,0.0
COM.PERCEN_28.47473666,0.0
COM.PERCEN_28.48490765,0.0
COM.PERCEN_28.7056711,0.0
COM.PERCEN_28.72860186,0.0
COM.PERCEN_28.73043845,0.0
COM.PERCEN_28.73166374,0.0
COM.PERCEN_28.88639173,0.0
COM.PERCEN_28.92318704,0.0
COM.PERCEN_28.92643409,0.0
COM.PERCEN_28.92972416,0.0
COM.PERCEN_28.9400554,0.0
COM.PERCEN_31.88225805,0.0
COM.PERCEN_29.03184483,0.0
COM.PERCEN_29.05501109,0.0
COM.PERCEN_29.09619409,0.0
COM.PERCEN_29.10064018,0.0
COM.PERCEN_29.16814091,0.0
COM.PERCEN_29.1985324,0.0
COM.PERCEN_27.85306271,0.0
COM.PERCEN_27.85187292,0.0
COM.PERCEN_27.84587406,0.0
COM.PERCEN_27.06744981,0.0
COM.PERCEN_26.40781785,0.0
COM.PERCEN_26.50320295,0.0
COM.PERCEN_26.55244841,0.0
COM.PERCEN_26.5814395,0.0
COM.PERCEN_26.60439709,0.0
COM.PERCEN_26.62156944,0.0
COM.PERCEN_26.66989619,0.0
COM.PERCEN_26.72145492,0.0
COM.PERCEN_26.72910992,0.0
COM.PERCEN_26.74442581,0.0
COM.PERCEN_26.89446962,0.0
COM.PERCEN_26.92029541,0.0
COM.PERCEN_27.04101325,0.0
COM.PERCEN_27.09261738,0.0
COM.PERCEN_27.8104998,0.0
COM.PERCEN_27.13251114,0.0
COM.PERCEN_27.18458206,0.0
COM.PERCEN_27.20173288,0.0
COM.PERCEN_27.23308502,0.0
COM.PERCEN_27.29178037,0.0
COM.PERCEN_27.30717851,0.0
COM.PERCEN_27.33903053,0.0
COM.PERCEN_27.46911962,0.0
COM.PERCEN_27.48170117,0.0
COM.PERCEN_27.50330682,0.0
COM.PERCEN_27.6906514,0.0
COM.PERCEN_27.75170845,0.0
COM.PERCEN_27.77376421,0.0
COM.PERCEN_31.86246856,0.0
COM.PERCEN_32.08806063,0.0
COM.PERCEN_31.88259627,0.0
COM.PERCEN_34.7840567,0.0
COM.PERCEN_34.80672688,0.0
COM.PERCEN_34.82066016,0.0
COM.PERCEN_34.83323905,0.0
COM.PERCEN_34.83600171,0.0
COM.PERCEN_34.88632056,0.0
COM.PERCEN_34.88663302,0.0
COM.PERCEN_34.94718728,0.0
